id,country,city,line,start_year,end_year,length,tunnel,stations,cost,currency,real_cost_USD
7810,CN,Shenzhen,Line 16,2018,2023,27.6,27.6,24,27530,CNY,6579.83
7811,CN,Guangzhou,Line 12,2018,2023,37.6,37.6,25,35120,CNY,8393.88
7816,CN,Beijing,Line 7 Phase 2 (Eastern Extension),2016,2020,17.2,15,9,15330,CNY,3843.07
7818,CN,Hangzhou,Line 9 Phase 1,2017,2022,17.8,NA,14,15657,CNY,3925.04
7824,CN,Beijing,Line 27 Phase 2 (Changping Southern Extension),2019,2021,16.6,NA,8,14230,CNY,3676.05
7825,CN,Nanjing,Line 5,2015,2020,37.2,37.2,29,31680,CNY,8183.93
7826,CN,Tianjin,B1 Phase 1,2015,2020,31.4,28.3,22,26488,CNY,6842.68
7827,CN,Shenzhen,Line 14,2018,2022,51.9,51.9,17,42970,CNY,10270.08
7832,CN,Beijing,Line 6 Phase 1 and 2,2008,2014,42.85,42.85,27,32250,CNY,10234.85
7833,CN,Changsha,Line 6 Central,2017,2021,26.5,26.5,20,22360,CNY,5344.17
